SK_CustomerID,CustomerID,TaxID,Status,LastName,FirstName,MiddleInitial,Gender,Tier,DOB,AddressLine1,AddressLine2,PostalCode,City,StateProv,Country,Phone1,Phone2,Phone3,Email1,Email2,NationalTaxRateDesc,NationalTaxRate,LocalTaxRateDesc,LocalTaxRate,AgencyID,CreditRating,NetWorth,MarketingNameplate,IsCurrent,BatchID,EffectiveDate,EndDate
16,240,"170-54-6720         ","ACTIVE    ","Hafermalz                     ","Hedy                          ",NULL,F,3,1988-05-04,14398 Graves Way,NULL,"E7N 1Q1     ","Albuquerque              ","FL                  ",United States of America,"(409)441-642125175            ",NULL,NULL,"Hedy.Hafermalz@care2.com                          ","Hedy.Hafermalz@SoftHome.net                       ","Mississippi Income Tax for inherited wealth       ",0.05000,"Iowa Income Tax for everyone else                 ",0.06830,NULL,NULL,NULL,NULL,1,1,2010-07-11,9999-12-31
17,1873,"533-63-7301         ","ACTIVE    ","Garvin                        ","Ijff                          ",NULL,M,3,2014-09-20,8288 Tartan West,NULL,"V6X 1V2     ","Worcester                ","MS                  ",United States of America,NULL,NULL,NULL,"Ijff.Garvin@farce.de                              ",NULL,"Maryland Income Tax for school teachers           ",0.02000,"Maryland Income Tax for the masses                ",0.03900,NULL,NULL,NULL,NULL,1,1,2011-06-17,9999-12-31
18,1119,"660-96-8965         ","ACTIVE    ","Newnam                        ","Ivan                          ",NULL,U,3,1963-06-01,2086 Weller Road,NULL,"37231       ","Hull                     ","VT                  ",United States of America,NULL,NULL,NULL,"Ivan.Newnam@shtrudel.com                          ","Ivan.Newnam@stoned.com                            ","Newfoundland Income Tax for the elderly           ",0.39620,"U.S. Income Tax Bracket for the filthy rich       ",0.39100,NULL,NULL,NULL,NULL,0,1,2009-11-09,2012-11-16
19,669,"987-36-7363         ","ACTIVE    ","Kehoe                         ","Jean-Louis                    ",NULL,U,3,1985-11-01,4941 Beardsley North,NULL,"94388       ","Independence             ","AZ                  ","Canada                  ",NULL,NULL,NULL,"Jean-Louis.Kehoe@vfemail.net                      ","Jean-Louis.Kehoe@gmx.pt                           ","Oklahoma Income Tax for the elderly               ",0.04960,"Idaho Income Tax for doctors and lawyers          ",0.04660,NULL,NULL,NULL,NULL,0,1,2008-11-29,2013-01-08
20,719,"250-92-6904         ","ACTIVE    ","Miao                          ","Jocelin                       ",NULL,U,3,2012-08-09,9689 Oakmont Drive,NULL,"V6Z 1V4     ","Aurora                   ","WI                  ",United States of America,NULL,NULL,NULL,"Jocelin.Miao@moose-mail.com                       ",NULL,"Connecticut Tax for the masses                    ",0.03000,"Maryland Income Tax for the masses                ",0.03900,NULL,NULL,NULL,NULL,0,1,2009-01-05,2014-04-06
21,719,"250-92-6904         ","INACTIVE  ","Miao                          ","Jocelin                       ",NULL,U,3,2012-08-09,9689 Oakmont Drive,NULL,"V6Z 1V4     ","Aurora                   ","WI                  ",United States of America,NULL,NULL,NULL,"Jocelin.Miao@moose-mail.com                       ",NULL,"Connecticut Tax for the masses                    ",0.03000,"Maryland Income Tax for the masses                ",0.03900,NULL,NULL,NULL,NULL,1,1,2014-04-06,9999-12-31
22,332,"386-40-1225         ","ACTIVE    ","Murdoch                       ","Juan                          ",NULL,U,2,1970-06-14,11183 Country South,NULL,"H5L 1O9     ","Windsor                  ","NH                  ",United States of America,NULL,NULL,NULL,"Juan.Murdoch@army.com                             ","Juan.Murdoch@born2frag.de                         ","Arkansas Tax for blue collar workers              ",0.02160,"Utah Income Tax for school teachers               ",0.03240,NULL,NULL,NULL,NULL,1,1,2008-03-11,9999-12-31
23,1710,"217-76-9732         ","ACTIVE    ","Chester                       ","Kym                           ",NULL,U,2,1952-05-29,6916 Silverado Avenue,NULL,"79914       ","Sioux Falls              ","AL                  ",United States of America,NULL,NULL,NULL,"Kym.Chester@mailvault.com                         ","Kym.Chester@taunusstein.net                       ","Virginia Income Tax for the masses                ",0.02000,"Georgia Income Tax for children                   ",0.01000,NULL,NULL,NULL,NULL,1,1,2011-02-10,9999-12-31
24,857,"444-07-7426         ","ACTIVE    ","Romero                        ","Lishe                         ",T,F,3,1988-09-22,17774 Applewood Rue,NULL,"90171       ","Albuquerque              ","PA                  ",United States of America,NULL,NULL,NULL,"Lishe.T.Romero@gmx.es                             ",NULL,"Alberta Income Tax for white collar workers       ",0.32000,"South Carolina Income Tax for school teachers     ",0.03400,NULL,NULL,NULL,NULL,0,1,2009-04-23,2015-03-13
25,2893,"279-55-2299         ","ACTIVE    ","Maijala                       ","Maged                         ",NULL,F,3,1940-09-30,6463 Walters Boulevard,NULL,"78723       ","Mesa                     ","WY                  ","Canada                  ",NULL,NULL,NULL,"Maged.Maijala@whale-mail.com                      ",NULL,"Newfoundland Income Tax for the elderly           ",0.39620,"Nunavut Income Tax for school teachers            ",0.21950,NULL,NULL,NULL,NULL,1,1,2013-08-16,9999-12-31
26,1316,"337-79-0344         ","ACTIVE    ","Kong                          ","Mkt                           ",NULL,U,1,1992-06-07,6558 Saxon North,NULL,"90893       ","Chattanooga              ","CT                  ",United States of America,NULL,NULL,NULL,"Mkt.Kong@devils.com                               ","Mkt.Kong@myfastmail.com                           ","New Mexico Income Tax for the masses              ",0.06030,"New Hampshire Income Tax for children             ",0.00000,NULL,NULL,NULL,NULL,0,1,2010-04-11,2010-10-05
27,1783,"867-21-7065         ","ACTIVE    ","Watford                       ","Myron                         ",O,F,3,1990-08-11,1429 Creek Crescent,NULL,"23461       ","Denver                   ","MO                  ",United States of America,"(704)063-163959015            ",NULL,NULL,"Myron.O.Watford@mailmaniacs.com                   ","Myron.O.Watford@gmx.com                           ","Northwest Territories Income Tax for the employed ",0.38200,"Arizona Income Tax for doctors and lawyers        ",0.04500,NULL,NULL,NULL,NULL,1,1,2011-04-10,9999-12-31
28,1454,"062-16-0475         ","ACTIVE    ","Delaney                       ","Naveen                        ",NULL,M,3,2013-09-05,18614 Tide Mill Court,NULL,"T6A 1K7     ","Paterson                 ","TN                  ",United States of America,NULL,NULL,NULL,"Naveen.Delaney@operamail.com                      ","Naveen.Delaney@taunusstein.net                    ","Alberta Income Tax for blue collar workers        ",0.16000,"Minnesota Income Tax for inherited wealth         ",0.07850,NULL,NULL,NULL,NULL,1,1,2010-07-28,9999-12-31
29,807,"255-93-3104         ","ACTIVE    ","Mizerk                        ","Nelly                         ",NULL,M,3,1998-10-26,22963 Hanover Road,NULL,"99587       ","St. Louis                ","NH                  ",United States of America,NULL,NULL,NULL,"Nelly.Mizerk@enveloped.org                        ",NULL,"Alabama Tax for inherited wealth                  ",0.05000,"Connecticut Tax for the masses                    ",0.03000,NULL,NULL,NULL,NULL,1,1,2009-03-13,9999-12-31
30,694,"163-42-3866         ","ACTIVE    ","Zapach                        ","Orel                          ",NULL,F,3,1941-08-28,13342 Alamo Court,NULL,"M5A 1U8     ","Fort Smith               ","GA                  ",United States of America,NULL,NULL,NULL,"Orel.Zapach@eml.cc                                ","Orel.Zapach@rediffmail.com                        ","North Dakota Income Tax for the masses            ",0.08000,"Idaho Income Tax for the masses                   ",0.02890,NULL,NULL,NULL,NULL,0,1,2008-12-17,2011-11-05
31,2567,"388-89-6772         ","ACTIVE    ","Pietropaolo                   ","Pattie                        ",X,F,3,1983-04-29,23999 3rd West,NULL,"27704       ","Indianapolis             ","MN                  ",United States of America,NULL,NULL,NULL,"Pattie.X.Pietropaolo@mail.com                     ","Pattie.X.Pietropaolo@box.az                       ","Nova Scotia Income Tax for those driving SUVs     ",0.42670,"Maine Income Tax for blue collar workers          ",0.04170,NULL,NULL,NULL,NULL,1,1,2012-12-06,9999-12-31
32,69,"507-85-4276         ","ACTIVE    ","Mattes                        ","Pris                          ",G,F,3,1923-05-19,15456 Seip Boulevard,NULL,"79952       ","Salem                    ","ND                  ",United States of America,NULL,NULL,NULL,"Pris.G.Mattes@gmx.pt                              ","Pris.G.Mattes@box.az                              ","Nunavut Income Tax for the elderly                ",0.30900,"Vermont Income Tax for school teachers            ",0.00000,NULL,NULL,NULL,NULL,0,1,2007-08-20,2007-09-01
33,2862,"840-97-3000         ","ACTIVE    ","Nakano                        ","Rijswijk                      ",P,U,3,1984-12-07,17298 Conier Avenue,NULL,"R5H 1M5     ","Winnipeg                 ","LA                  ","Canada                  ",NULL,NULL,NULL,"Rijswijk.P.Nakano@hotmail.com                     ","Rijswijk.P.Nakano@vegemail.com                    ","Arizona Income Tax for blue collar workers        ",0.03410,"Iowa Income Tax for everyone else                 ",0.06830,NULL,NULL,NULL,NULL,1,1,2013-07-23,9999-12-31
34,2637,"713-43-3566         ","ACTIVE    ","OFCPARM                       ","Survey                        ",NULL,U,1,1961-12-24,20109 Alexis Lane,Apt. 192,"76707       ","Rochester                ","MO                  ",United States of America,"+1(609)114-553429018          ",NULL,NULL,"Survey.OFCPARM@mail.com                           ",NULL,"New Jersey Income Tax for inherited wealth        ",0.06370,British Columbia Income Tax for those driving SUVs,0.42700,"OFC2455                       ",360,1076885,"HighValue+Expenses+Boomer+MoneyAlert+Spender+Inherited                                              ",1,1,2013-01-28,9999-12-31
35,1143,"411-58-2988         ","ACTIVE    ","Ghatta                        ","Young-June                    ",P,M,3,2062-01-20,24130 Sunscape Crescent,NULL,"71114       ","Chicago                  ","Alberta             ",United States of America,NULL,NULL,NULL,"Young-June.P.Ghatta@macgui.com                    ",NULL,"New Jersey Income Tax for the masses              ",0.01400,"Ohio Income Tax for everyone else                 ",0.05410,NULL,NULL,NULL,NULL,0,1,2009-11-30,2011-03-02
36,1143,"411-58-2988         ","INACTIVE  ","Ghatta                        ","Young-June                    ",P,M,3,2062-01-20,24130 Sunscape Crescent,NULL,"71114       ","Chicago                  ","Alberta             ",United States of America,NULL,NULL,NULL,"Young-June.P.Ghatta@macgui.com                    ",NULL,"New Jersey Income Tax for the masses              ",0.01400,"Ohio Income Tax for everyone else                 ",0.05410,NULL,NULL,NULL,NULL,1,1,2011-03-02,9999-12-31
37,966,"717-29-2561         ","ACTIVE    ","Udayasekaran                  ","Brinn                         ",N,F,3,1969-01-02,10484 Waverly Road,NULL,"92058       ","Livonia                  ","VA                  ",United States of America,NULL,NULL,NULL,"Brinn.N.Udayasekaran@aggies.com                   ","Brinn.N.Udayasekaran@vegemail.com                 ","Hawaii Income Tax for doctors and lawyers         ",0.06070,"District of Columbia Income Tax for teachers      ",0.05000,NULL,NULL,NULL,NULL,0,1,2009-07-17,2010-02-17
38,3718,"595-12-2485         ","ACTIVE    ","Glidewell                     ","Cristina                      ",NULL,U,3,1961-09-27,23788 Linden Drive,Suite 429,"33143       ","Chesapeake               ","FL                  ",United States of America,NULL,NULL,NULL,"Cristina.Glidewell@enveloped.org                  ","Cristina.Glidewell@rediffmail.com                 ","Manitoba Income Tax for doctors and lawyers       ",0.27900,"Georgia Income Tax for inherited wealth           ",0.06000,"gli1062                       ",604,759816,"Boomer+Spender+Inherited                                                                            ",1,1,2015-05-17,9999-12-31
39,3935,"008-07-8634         ","ACTIVE    ","Dunnion                       ","Darice                        ",N,U,2,1947-09-08,3020 Fox Rue,NULL,"T5D 1L5     ","Moreno Valley            ","MA                  ",United States of America,NULL,NULL,NULL,"Darice.N.Dunnion@ProtectAnimals.com               ","Darice.N.Dunnion@post.com                         ","Manitoba Income Tax for the unemployed            ",0.39400,"Arkansas Tax for blue collar workers              ",0.02160,NULL,NULL,NULL,NULL,1,1,2015-10-29,9999-12-31
40,2897,"133-71-8120         ","ACTIVE    ","Butvich                       ","Darrin                        ",NULL,U,3,2010-08-11,12493 Arthur Court,NULL,"77054       ","San Bernardino           ","Ontario             ",United States of America,NULL,NULL,NULL,"Darrin.Butvich@mailvault.com                      ",NULL,"Georgia Income Tax for blue collar workers        ",0.03000,"Missouri Income Tax for those driving SUVs        ",0.05500,NULL,NULL,NULL,NULL,1,1,2013-08-18,9999-12-31
41,1870,"640-63-7019         ","ACTIVE    ","Dunajski                      ","Darrol                        ",J,U,2,2006-05-13,23822 Marvin Crescent,NULL,"V6C 1T2     ","Montreal                 ","Newfoundland        ",United States of America,NULL,NULL,NULL,"Darrol.J.Dunajski@gmx.sg                          ","Darrol.J.Dunajski@letterbox.org                   ","New Mexico Income Tax for the masses              ",0.06030,"Utah Income Tax for doctors and lawyers           ",0.06060,NULL,NULL,NULL,NULL,1,1,2011-11-28,9999-12-31
42,3622,"666-78-6268         ","ACTIVE    ","Dipierro                      ","Dick                          ",N,U,2,1936-11-04,22760 Savannah Boulevard,NULL,"37914       ","Palmdale                 ","MS                  ",United States of America,NULL,NULL,NULL,"Dick.N.Dipierro@buffaloes.com                     ","Dick.N.Dipierro@enveloped.org                     ","British Columbia Income Tax for children          ",0.00000,"Northwest Territories Income Tax for workers      ",0.39400,NULL,NULL,NULL,NULL,1,1,2015-03-02,9999-12-31
43,2480,"597-98-8620         ","ACTIVE    ","Gerritse                      ","Dinesh                        ",U,U,3,2015-12-28,3964 Lamport Street,NULL,"85255       ","Elizabeth                ","MT                  ","Canada                  ",NULL,"741-825519672                 ",NULL,"Dinesh.U.Gerritse@fastmail.fm                     ",NULL,"Prince Edward Island Income Tax for doctors       ",0.35800,"Montana Income Tax for the unemployed             ",0.07000,NULL,NULL,NULL,NULL,1,1,2014-09-23,9999-12-31
44,3895,"012-71-1220         ","ACTIVE    ","Reilly                        ","Domenick                      ",NULL,M,3,2010-09-14,24368 Rutgers Way,Suite 465,"H7E 1T5     ","Salem                    ","Alberta             ",United States of America,NULL,NULL,NULL,"Domenick.Reilly@teancum.net                       ","Domenick.Reilly@vfemail.net                       ","Ohio Income Tax for those driving SUVs            ",0.06190,"Saskatchewan Income Tax for inherited wealth      ",0.45000,"REI3117                       ",635,1949317,"HighValue+Boomer+Inherited                                                                          ",1,1,2015-09-30,9999-12-31
45,3159,"350-24-1064         ","ACTIVE    ","Pham                          ","Elza                          ",NULL,U,2,1930-06-20,21088 Murie Street,NULL,"39532       ","Aurora                   ","AL                  ",United States of America,NULL,NULL,NULL,"Elza.Pham@bulldogs.com                            ",NULL,"Missouri Income Tax for everyone else             ",0.04500,"Ontario Income Tax for those driving SUVs         ",0.39390,NULL,NULL,NULL,NULL,1,1,2014-03-11,9999-12-31
46,3043,"361-24-8108         ","ACTIVE    ","Klasky                        ","Fausto                        ",Z,U,NULL,1928-12-15,22506 Shelter Drive,NULL,"48253       ","San Diego                ","NH                  ",United States of America,NULL,NULL,"(590)864-447277470            ","Fausto.Z.Klasky@taunusstein.net                   ","Fausto.Z.Klasky@gmx.co.uk                         ","Indiana Income Tax for the masses                 ",0.03400,"Nova Scotia Income Tax for children               ",0.00000,NULL,NULL,NULL,NULL,1,1,2013-12-07,9999-12-31
47,2684,"254-90-1745         ","ACTIVE    ","Salada                        ","Gerrie                        ",NULL,M,3,1974-06-24,20892 Collier Street,Apt. 990,"53219       ","Charlotte                ","Quebec              ","Canada                  ",NULL,NULL,NULL,"Gerrie.Salada@hushmail.com                        ",NULL,"Ontario Income Tax for school teachers            ",0.28160,"New Mexico Income Tax for inherited wealth        ",0.08200,NULL,NULL,NULL,NULL,1,1,2016-07-01,9999-12-31
48,3977,"491-51-0205         ","ACTIVE    ","Humiston                      ","Hazem                         ",B,M,3,1950-11-20,22776 Canoas Lower,NULL,"93821       ","Lakewood                 ","Saskatchewan        ",United States of America,NULL,NULL,NULL,"Hazem.B.Humiston@usa.com                          ",NULL,"Alabama Tax for blue collar workers               ",0.02000,"Northwest Territories Income Tax for children     ",0.00000,NULL,NULL,NULL,NULL,1,1,2015-12-02,9999-12-31
49,2726,"230-82-0766         ","ACTIVE    ","Jordan                        ","Izumi                         ",NULL,M,3,1980-02-23,5660 Halifax North,NULL,"14208       ","Fullerton                ","KS                  ",United States of America,NULL,NULL,NULL,"Izumi.Jordan@SaveWildlife.com                     ",NULL,"Colorado Income Tax for inherited wealth          ",0.04750,"Delaware Income Tax for inherited wealth          ",0.06000,NULL,NULL,NULL,NULL,1,1,2013-04-10,9999-12-31
50,351,"709-91-2537         ","ACTIVE    ","Mevis                         ","Jolynn                        ",NULL,F,1,1972-04-10,16508 Cleveland Upper,NULL,"14232       ","Simi Valley              ","WA                  ","Canada                  ",NULL,NULL,NULL,"Jolynn.Mevis@wraped.net                           ",NULL,"Yukon Income Tax for the masses                   ",0.00000,"North Dakota Income Tax for the unemployed        ",0.06670,NULL,NULL,NULL,NULL,0,1,2008-03-27,2008-10-02
51,4078,"011-23-4652         ","ACTIVE    ","Hoang                         ","Karlotta                      ",U,M,3,1972-04-09,13573 Lavender Court,NULL,"95256       ","Savannah                 ","MI                  ",United States of America,"111-211681009                 ",NULL,NULL,"Karlotta.U.Hoang@operamail.com                    ","Karlotta.U.Hoang@RespectAnimals.com               ","Georgia Income Tax for blue collar workers        ",0.03000,"Nova Scotia Income Tax for the unemployed         ",0.38670,NULL,NULL,NULL,NULL,1,1,2016-02-17,9999-12-31
52,3795,"426-34-3614         ","ACTIVE    ","Chouhan                       ","Katharine                     ",E,F,1,1918-06-13,16271 Vista South,NULL,"15201       ","Mesa                     ","VA                  ",United States of America,NULL,NULL,NULL,"Katharine.E.Chouhan@farce.de                      ",NULL,"Northwest Territories Income Tax for workers      ",0.39400,"Ohio Income Tax for those driving SUVs            ",0.06190,NULL,NULL,NULL,NULL,1,1,2015-07-16,9999-12-31
53,182,"847-60-8408         ","ACTIVE    ","Galluzzi                      ","Kirby                         ",NULL,U,2,2010-03-24,4895 Parkview Court,NULL,"V6Y 1T4     ","El Monte                 ","WI                  ","Canada                  ",NULL,NULL,NULL,"Kirby.Galluzzi@care2.com                          ","Kirby.Galluzzi@hush.ai                            ","New Jersey Income Tax for school teachers         ",0.03390,"Kentucky Income Tax for blue collar workers       ",0.04000,NULL,NULL,NULL,NULL,0,1,2007-11-14,2008-02-12
54,4393,"570-56-1963         ","ACTIVE    ","Chima                         ","Leda                          ",NULL,U,3,1932-04-30,20156 Southlake Drive,NULL,"M6U 1H8     ","Garland                  ","FL                  ",United States of America,"026-733837568                 ",NULL,NULL,"Leda.Chima@rediffmail.com                         ",NULL,"Ohio Income Tax for doctors and lawyers           ",0.03840,"Idaho Income Tax for inherited wealth             ",0.08200,NULL,NULL,NULL,NULL,1,1,2016-10-19,9999-12-31
55,578,"439-78-5792         ","ACTIVE    ","Skalski                       ","Mari                          ",NULL,F,3,2009-10-09,7818 East Street,NULL,"95055       ","Hayward                  ","CA                  ",United States of America,NULL,NULL,NULL,"Mari.Skalski@quake0.de                            ",NULL,"New Mexico Income Tax for the masses              ",0.06030,"Saskatchewan Income Tax for blue collar workers   ",0.16000,NULL,NULL,NULL,NULL,0,1,2008-09-17,2009-06-30
56,4429,"202-61-0293         ","ACTIVE    ","Schmidt                       ","Marilynn                      ",G,U,3,2005-02-07,2845 Trafalgar East,NULL,"H2A 1X9     ","Mesa                     ","DC                  ","Canada                  ",NULL,NULL,NULL,"Marilynn.G.Schmidt@gawab.com                      ",NULL,"Arkansas Tax for school teachers                  ",0.03330,"District of Columbia Income Tax for workers       ",0.09500,NULL,NULL,NULL,NULL,1,1,2016-11-15,9999-12-31
57,707,"689-27-4953         ","ACTIVE    ","Muttaqi                       ","Mayasandra                    ",U,F,2,1982-12-14,2754 Hickorybark West,NULL,"M5A 1U6     ","Regina                   ","DE                  ",United States of America,NULL,NULL,NULL,"Mayasandra.U.Muttaqi@RespectAnimals.com           ","Mayasandra.U.Muttaqi@london.com                   ",Prince Edward Island Income Tax for the unemployed,0.37180,"Hawaii Income Tax for the masses                  ",0.04280,NULL,NULL,NULL,NULL,1,1,2009-02-10,9999-12-31
58,1076,"250-98-2187         ","ACTIVE    ","Gaiotti                       ","Misti                         ",NULL,F,2,1968-06-25,8145 Essington North,Apt. 440,"47709       ","Waco                     ","NJ                  ",United States of America,NULL,NULL,"038-042326833                 ","Misti.Gaiotti@fastmail.fm                         ",NULL,"Minnesota Income Tax for doctors and lawyers      ",0.06600,"Nova Scotia Income Tax for those driving SUVs     ",0.42670,NULL,NULL,NULL,NULL,1,1,2010-07-03,9999-12-31
59,3922,"494-54-3467         ","ACTIVE    ","Kaden                         ","Nadir                         ",NULL,U,3,1968-04-25,24595 Denton Road,NULL,"H2F 1V3     ","Mesquite                 ","MO                  ",United States of America,NULL,NULL,NULL,"Nadir.Kaden@mailvault.com                         ","Nadir.Kaden@wraped.net                            ","Missouri Income Tax for everyone else             ",0.04500,"Louisana Income Tax for inherited wealth          ",0.06000,NULL,NULL,NULL,NULL,1,1,2015-10-21,9999-12-31
