ActionType,AddressLine1,AddressLine2,City,Country,CustomerID,DOB,EffectiveDate,Email1,Email2,EndDate,FirstName,Gender,LastName,LocalTaxID,MiddleInitial,NationalTaxID,Phone1,Phone2,Phone3,PostalCode,StateProv,Status,TaxId,Tier,isCurrent
NEW,21448 Hampton Boulevard,,Shreveport,United States of America,42,2012-06-21,2007-08-01,Lex.L.Ciccarelli@gmx.es,Lex.L.Ciccarelli@wildmail.com,2008-01-20,Lex,U,Ciccarelli,BC6,L,MN2,753-934734682,,,78416,DC,ACTIVE,937-11-3915,3,false
UPDCUST,19334 Stratmore Lane,,Shreveport,United States of America,42,2012-06-21,2008-01-20,Lex.L.Ciccarelli@vegemail.com,Lex.L.Ciccarelli@4uchat.de,2010-10-16,Lex,U,Ciccarelli,BC6,L,MN2,753-934734682,,915-127131870,X7I 1Q9,GA,ACTIVE,937-11-3915,3,false
UPDCUST,12767 Garson Court,Suite 472,Victoria,United States of America,42,2012-06-21,2010-10-16,Lex.L.Ciccarelli@vegemail.com,Lex.L.Ciccarelli@hush.ai,2011-07-26,Lex,U,Ciccarelli,BC6,L,MN2,753-934734682,,915-127131870,36630,NE,ACTIVE,937-11-3915,3,false
UPDCUST,18313 5th Lane,Suite 472,Kansas City,United States of America,42,2012-06-21,2011-07-26,Lex.L.Ciccarelli@aol.com,Lex.L.Ciccarelli@hush.ai,9999-12-31,Lex,U,Ciccarelli,BC6,L,MN2,+1(321)479-842539336,,915-127131870,19097,NE,ACTIVE,937-11-3915,3,true
NEW,8104 Barberry Lane,,Reno,Canada,43,1926-04-01,2007-08-02,Blondell.Goricanec@gmx.hk,Blondell.Goricanec@kify.net,2015-03-19,Blondell,U,Goricanec,BC10,,MO10,,,,75046,DC,ACTIVE,683-80-1349,2,false
UPDCUST,13724 Gibbes East,,Greensboro,Canada,43,1926-04-01,2015-03-19,Blondell.Goricanec@gmx.hk,Blondell.Goricanec@deadaddress.com,9999-12-31,Blondell,U,Goricanec,BC10,,MO10,,,,V6N 1W3,DC,ACTIVE,683-80-1349,2,true
NEW,2637 Payne Lower,,Lowell,United States of America,44,1946-05-04,2007-08-02,Malena.Hurtubise@buffaloes.com,,2007-08-19,Malena,M,Hurtubise,MO5,,PA1,,,,35893,ND,ACTIVE,258-30-9087,1,false
UPDCUST,2637 Payne Lower,,Baton Rouge,United States of America,44,1946-05-04,2007-08-19,Malena.Hurtubise@doctor.com,,2007-11-08,Malena,M,Hurtubise,MO5,,PA1,,,,35893,ND,ACTIVE,258-30-9087,1,false
UPDCUST,2637 Payne Lower,,Fort Wayne,Canada,44,1946-05-04,2007-11-08,Malena.Hurtubise@myway.com,,9999-12-31,Malena,M,Hurtubise,MO5,,PA1,,,,35893,ND,ACTIVE,258-30-9087,2,true
NEW,2328 Gracie Avenue,,Tempe,United States of America,45,1985-06-20,2007-08-03,Gale.Shoaf@gmx.co.uk,Gale.Shoaf@gmx.es,9999-12-31,Gale,U,Shoaf,YT7,,NB4,,(640)001-835400516,,95149,Prince Edward Island,ACTIVE,287-83-0393,2,true
NEW,10093 McKinnon North,,Lincoln,Canada,46,1951-01-20,2007-08-03,Lizette.McDunn@lawyer.com,,2009-06-17,Lizette,U,McDunn,CA3,,NH1,249-694718992,,,E7O 1Q4,Ontario,ACTIVE,066-72-9438,1,false
INACT,10093 McKinnon North,,Lincoln,Canada,46,1951-01-20,2009-06-17,Lizette.McDunn@lawyer.com,,9999-12-31,Lizette,U,McDunn,CA3,,NH1,249-694718992,,,E7O 1Q4,Ontario,INACTIVE,066-72-9438,1,true
NEW,20901 Ashley North,,West Covina,United States of America,47,1986-08-19,2007-08-03,Do.C.KleynenbergNTACFB@icqmail.com,Do.C.KleynenbergNTACFB@mailmaniacs.com,2007-09-28,Do,U,KleynenbergNTACFB,BC3,C,YT6,,,,76144,British Columbia,ACTIVE,210-42-9519,2,false
UPDCUST,7054 Southlake Upper,,Sudbury,Canada,47,1986-08-19,2007-09-28,Do.C.KleynenbergNTACFB@gmx.pt,Do.C.KleynenbergNTACFB@mailmaniacs.com,2008-07-22,Do,U,KleynenbergNTACFB,BC3,C,YT6,,,,93863,LA,ACTIVE,210-42-9519,2,false
INACT,7054 Southlake Upper,,Sudbury,Canada,47,1986-08-19,2008-07-22,Do.C.KleynenbergNTACFB@gmx.pt,Do.C.KleynenbergNTACFB@mailmaniacs.com,9999-12-31,Do,U,KleynenbergNTACFB,BC3,C,YT6,,,,93863,LA,INACTIVE,210-42-9519,2,true
NEW,9863 Boll Boulevard,,Dallas,United States of America,48,2001-01-14,2007-08-04,Henk.Croom@post.com,Henk.Croom@myfastmail.com,9999-12-31,Henk,U,Croom,AR4,,NF2,,,,V6P 1T8,TX,ACTIVE,674-24-8170,,true
NEW,4139 Pace Lower,Apt. 485,Thousand Oaks,United States of America,49,1925-03-17,2007-08-04,Maidisn.Acton@mail.be,,2016-08-08,Maidisn,U,Acton,NS7,,ND7,,,,M5D 1W3,AK,ACTIVE,397-45-1442,3,false
UPDCUST,18630 Atlantic Road,Apt. 485,Regina,United States of America,49,1925-03-17,2016-08-08,Maidisn.Acton@gmx.sg,,9999-12-31,Maidisn,U,Acton,NS7,,ND7,,,,91153,Alberta,ACTIVE,397-45-1442,3,true
NEW,17752 6th South,,Tulsa,Canada,50,2010-05-28,2007-08-05,Eliza.J.Meffe@peacemail.com,Eliza.J.Meffe@shtrudel.org,2008-07-28,Eliza,M,Meffe,KY1,J,HI5,,,,M8B 1V9,MN,ACTIVE,182-64-6880,2,false
INACT,17752 6th South,,Tulsa,Canada,50,2010-05-28,2008-07-28,Eliza.J.Meffe@peacemail.com,Eliza.J.Meffe@shtrudel.org,9999-12-31,Eliza,M,Meffe,KY1,J,HI5,,,,M8B 1V9,MN,INACTIVE,182-64-6880,2,true
NEW,10991 Peach Park,Apt. 612,Sydney,United States of America,51,1994-10-11,2007-08-06,Chee-Yong.Hillring@ip6.li,Chee-Yong.Hillring@deadaddress.com,2008-01-14,Chee-Yong,F,Hillring,MB5,,ON2,(431)440-656136142,,,92176,CO,ACTIVE,987-92-0796,3,false
UPDCUST,14195 Verde Park,Apt. 612,Sydney,United States of America,51,1994-10-11,2008-01-14,Chee-Yong.Hillring@gmx.us,Chee-Yong.Hillring@deadaddress.com,9999-12-31,Chee-Yong,F,Hillring,MB5,,ON2,(431)440-656136142,,,T5B 1W6,MS,ACTIVE,987-92-0796,3,true
NEW,11647 Coralberry East,,Tallahassee,United States of America,52,1924-11-06,2007-08-06,Merry.Oster@ProtectAnimals.com,,9999-12-31,Merry,M,Oster,ON3,,NE3,,,,92184,CT,ACTIVE,783-97-0496,2,true
NEW,3972 Wilmington Rue,,Lakewood,United States of America,53,1945-08-16,2007-08-10,Brittany.Scourneau@netdove.net,Brittany.Scourneau@privacyharbor.com,2008-11-22,Brittany,F,Scourneau,AB4,,CA1,,,,V6T 1R1,ND,ACTIVE,900-88-2561,,false
UPDCUST,3972 Wilmington Rue,,Dallas,United States of America,53,1945-08-16,2008-11-22,Brittany.Scourneau@shtrudel.tv,Brittany.Scourneau@privacyharbor.com,9999-12-31,Brittany,F,Scourneau,AB4,,CA1,,,,V6T 1R1,CO,ACTIVE,900-88-2561,3,true
NEW,21180 Trafalgar Way,,Dawson City,United States of America,159,1991-02-08,2007-10-29,Adelle.Borum@london.com,,2007-11-25,Adelle,M,Borum,NF5,,MO2,+1(353)581-695964878,,,T5D 1U2,MO,ACTIVE,947-92-3759,1,false
INACT,21180 Trafalgar Way,,Dawson City,United States of America,159,1991-02-08,2007-11-25,Adelle.Borum@london.com,,9999-12-31,Adelle,M,Borum,NF5,,MO2,+1(353)581-695964878,,,T5D 1U2,MO,INACTIVE,947-92-3759,1,true
NEW,7626 Clint West,,Oakland,United States of America,160,2017-03-31,2007-10-30,Ninette.Rossi@stoned.com,,2010-02-07,Ninette,F,Rossi,SC6,,NS5,,147-487521473,,T6A 1A8,OK,ACTIVE,672-27-3833,2,false
INACT,7626 Clint West,,Oakland,United States of America,160,2017-03-31,2010-02-07,Ninette.Rossi@stoned.com,,9999-12-31,Ninette,F,Rossi,SC6,,NS5,,147-487521473,,T6A 1A8,OK,INACTIVE,672-27-3833,2,true
NEW,19097 Foxfire North,,Huntington,United States of America,161,1995-12-12,2007-10-30,Phebe.O.Juni@macgui.com,,2008-01-21,Phebe,U,Juni,MT6,O,MT10,,,,H2D 1U3,AR,ACTIVE,579-38-3380,2,false
UPDCUST,3146 Howser Lane,,Huntington,Canada,161,1995-12-12,2008-01-21,Phebe.O.Juni@post.com,,2012-11-07,Phebe,U,Juni,MT6,O,MT10,,272-924792666,,H6B 1Z9,FL,ACTIVE,579-38-3380,2,false
UPDCUST,16787 Valita Crescent,,Santa Ana,Canada,161,1995-12-12,2012-11-07,Phebe.O.Juni@peacemail.com,,9999-12-31,Phebe,U,Juni,MT6,O,MT10,,272-924792666,,75263,FL,ACTIVE,579-38-3380,2,true
NEW,14227 Flynn Park,,Inglewood,United States of America,162,1982-06-13,2007-10-30,Panch.C.Slusser@dcemail.com,,2016-09-12,Panch,M,Slusser,SK4,C,DE6,,,,94591,Saskatchewan,ACTIVE,148-76-2377,3,false
UPDCUST,19040 Shallowford Drive,,Des Moines,United States of America,162,1982-06-13,2016-09-12,Panch.C.Slusser@dcemail.com,Panch.C.Slusser@gmx.sg,9999-12-31,Panch,M,Slusser,SK4,C,DE6,,,,M9D 1S4,Alberta,ACTIVE,148-76-2377,3,true
NEW,14776 St. Phillip Court,,Sacramento,United States of America,163,1987-04-25,2007-11-03,Oneida.Maund@consultant.com,,2017-03-05,Oneida,U,Maund,SC5,,UT4,,,,79102,MI,ACTIVE,489-96-1415,3,false
INACT,14776 St. Phillip Court,,Sacramento,United States of America,163,1987-04-25,2017-03-05,Oneida.Maund@consultant.com,,9999-12-31,Oneida,U,Maund,SC5,,UT4,,,,79102,MI,INACTIVE,489-96-1415,3,true
NEW,21088 Murie Street,,Ontario,Canada,164,1922-08-18,2007-11-04,Gina.A.Rutyna@mac.hush.com,,9999-12-31,Gina,F,Rutyna,NU2,A,MO10,,,,94109,HI,ACTIVE,663-78-0258,2,true
NEW,14930 Griffin Upper,,Albuquerque,United States of America,165,1947-12-16,2007-11-04,Jacob.N.Esguerra@shtrudel.org,,2009-05-23,Jacob,U,Esguerra,ND6,N,NY5,,,,27622,Prince Edward Island,ACTIVE,955-38-4034,3,false
UPDCUST,18859 Sun Tree East,Suite 463,Albuquerque,Canada,165,1947-12-16,2009-05-23,Jacob.N.Esguerra@aggies.com,,9999-12-31,Jacob,U,Esguerra,ND6,N,NY5,,473-952441445,,16504,Quebec,ACTIVE,955-38-4034,2,true
NEW,23588 Madison West,,West Valley,Canada,166,1982-09-07,2007-11-05,Selie.N.Nuttall@wraped.net,Selie.N.Nuttall@gmx.pt,2016-07-15,Selie,U,Nuttall,NB2,N,UT4,,,,87113,ID,ACTIVE,245-15-7995,2,false
UPDCUST,12064 Alonzo Street,,Dawson City,United States of America,166,1982-09-07,2016-07-15,Selie.N.Nuttall@aol.com,Selie.N.Nuttall@gmx.pt,9999-12-31,Selie,U,Nuttall,NB2,N,UT4,,,,V6K 1U3,KS,ACTIVE,245-15-7995,3,true
NEW,12223 Alabama Lane,,Sterling Heights,United States of America,167,2015-10-20,2007-11-05,Ottawa.Khorami@whale-mail.com,,2008-06-20,Ottawa,U,Khorami,IA9,,ND5,+1(588)640-501613994,,,75235,WI,ACTIVE,750-32-9029,2,false
UPDCUST,7895 Crestline Drive,,Sterling Heights,United States of America,167,2015-10-20,2008-06-20,Ottawa.Khorami@privacyharbor.com,Ottawa.Khorami@buffaloes.com,2009-09-24,Ottawa,U,Khorami,IA9,,ND5,+1(588)640-501613994,,,10173,MS,ACTIVE,750-32-9029,3,false
INACT,7895 Crestline Drive,,Sterling Heights,United States of America,167,2015-10-20,2009-09-24,Ottawa.Khorami@privacyharbor.com,Ottawa.Khorami@buffaloes.com,9999-12-31,Ottawa,U,Khorami,IA9,,ND5,+1(588)640-501613994,,,10173,MS,INACTIVE,750-32-9029,3,true
NEW,24990 Conier Park,,Fargo,United States of America,168,1933-07-24,2007-11-05,Miriam.Fallahi@rediffmail.com,Miriam.Fallahi@gmx.ph,2008-10-20,Miriam,U,Fallahi,NC1,,NJ6,,,,95402,New Brunswick,ACTIVE,847-13-0198,3,false
UPDCUST,24990 Conier Park,,Fargo,Canada,168,1933-07-24,2008-10-20,Miriam.Fallahi@gmx.sg,Miriam.Fallahi@gmx.ph,2015-10-09,Miriam,U,Fallahi,NC1,,NJ6,,,,93901,AK,ACTIVE,847-13-0198,2,false
INACT,24990 Conier Park,,Fargo,Canada,168,1933-07-24,2015-10-09,Miriam.Fallahi@gmx.sg,Miriam.Fallahi@gmx.ph,9999-12-31,Miriam,U,Fallahi,NC1,,NJ6,,,,93901,AK,INACTIVE,847-13-0198,2,true
NEW,22829 Pico Drive,,Boston,United States of America,169,1925-08-10,2007-11-07,Edouard.G.Briard@shtrudel.biz,Edouard.G.Briard@RespectAnimals.com,2011-11-23,Edouard,U,Briard,NS1,G,KS2,(772)786-413043268,,,X1G 1S2,WY,ACTIVE,966-78-7338,3,false
UPDCUST,6244 Havenridge Boulevard,,Stamford,United States of America,169,1925-08-10,2011-11-23,Edouard.G.Briard@shtrudel.biz,Edouard.G.Briard@RespectAnimals.com,9999-12-31,Edouard,U,Briard,NS1,G,KS2,(772)786-413043268,,,90782,Prince Edward Island,ACTIVE,966-78-7338,1,true
NEW,20128 Davie Lane,Suite 405,Cleveland,United States of America,170,1971-08-26,2007-11-07,Nevsa.Q.Edmondson@gmx.ph,,9999-12-31,Nevsa,U,Edmondson,OK1,Q,ID1,,,,70139,CA,ACTIVE,437-15-5720,3,true
NEW,8752 Forest Park East,Apt. 537,Erie,United States of America,171,1959-05-30,2007-11-07,Tamra.Dysart@born2frag.de,,2007-11-16,Tamra,M,Dysart,SC3,,ID1,,,,80526,WV,ACTIVE,896-65-6898,3,false
UPDCUST,2023 Reynolds Street,Apt. 537,Pomona,United States of America,171,1959-05-30,2007-11-16,Tamra.Dysart@soodonims.com,Tamra.Dysart@care2.com,2008-01-12,Tamra,M,Dysart,SC3,,ID1,,,,80116,IN,ACTIVE,896-65-6898,3,false
INACT,2023 Reynolds Street,Apt. 537,Pomona,United States of America,171,1959-05-30,2008-01-12,Tamra.Dysart@soodonims.com,Tamra.Dysart@care2.com,9999-12-31,Tamra,M,Dysart,SC3,,ID1,,,,80116,IN,INACTIVE,896-65-6898,3,true
NEW,6625 Charleville Upper,,Fort Smith,United States of America,172,1930-11-18,2007-11-08,Woody.Derbyshire@usa.com,Woody.Derbyshire@mailmaniacs.com,2011-07-06,Woody,F,Derbyshire,DE2,,MN2,,,,70825,Quebec,ACTIVE,523-52-6955,3,false
UPDCUST,3052 Pearson South,,Lowell,Canada,172,1930-11-18,2011-07-06,Woody.Derbyshire@shtrudel.com,Woody.Derbyshire@mailmaniacs.com,9999-12-31,Woody,F,Derbyshire,DE2,,MN2,,,,X1H 1T7,CO,ACTIVE,523-52-6955,3,true
NEW,298 Cedar Crescent,,Vallejo,United States of America,173,1935-07-21,2007-11-08,Shannon.M.Shiell@myway.com,Shannon.M.Shiell@ProtectAnimals.com,2015-02-20,Shannon,F,Shiell,WV4,M,TX1,,,,28242,CA,ACTIVE,656-40-7051,3,false
UPDCUST,298 Cedar Crescent,,Jacksonville,United States of America,173,1935-07-21,2015-02-20,Shannon.M.Shiell@safe-mail.net,Shannon.M.Shiell@hushmail.me,9999-12-31,Shannon,F,Shiell,WV4,M,TX1,,,,85720,DC,ACTIVE,656-40-7051,3,true
NEW,7629 Windchime East,,Hay River,Canada,174,1962-06-28,2007-11-12,Letta.Nicosia@kify.net,Letta.Nicosia@netdove.net,9999-12-31,Letta,U,Nicosia,MO9,,SC4,,339-623986172,,35872,KY,ACTIVE,585-38-0214,3,true
NEW,15917 Scanlin East,Suite 459,Torrance,United States of America,120,1964-04-23,2007-10-01,Tineke.Busko@macgui.com,,2007-12-24,Tineke,M,Busko,IA6,,MD4,,,,T5B 1M3,NH,ACTIVE,546-50-2977,2,false
UPDCUST,15917 Scanlin East,Suite 459,Boston,Canada,120,1964-04-23,2007-12-24,Tineke.Busko@deacons.com,,2015-08-10,Tineke,M,Busko,IA6,,MD4,,,,V6O 1V7,NH,ACTIVE,546-50-2977,3,false
UPDCUST,5917 Addax Avenue,Suite 459,Sioux Falls,Canada,120,1964-04-23,2015-08-10,Tineke.Busko@12Freeukisp.co.uk,Tineke.Busko@army.com,9999-12-31,Tineke,M,Busko,IA6,,MD4,267-023158325,,+1(780)307-952891927,T5A 1L1,NV,ACTIVE,546-50-2977,3,true
NEW,6341 Charlotte Court,,Miami,United States of America,121,1950-12-06,2007-10-01,Milka.Huddleston@lavabit.com,Milka.Huddleston@operamail.com,9999-12-31,Milka,U,Huddleston,AK1,,NB2,,(256)015-712432454,,94170,Saskatchewan,ACTIVE,158-06-0761,3,true
NEW,21096 Tanbark Park,,Wilmington,United States of America,122,1948-07-31,2007-10-01,Ben.F.Hopkinson@myway.com,Ben.F.Hopkinson@animail.net,2008-10-07,Ben,U,Hopkinson,NT1,F,BC1,707-746061551,,,30302,IL,ACTIVE,049-59-5420,2,false
UPDCUST,16656 Stuart West,,Wilmington,United States of America,122,1948-07-31,2008-10-07,Ben.F.Hopkinson@snail-mail.net,Ben.F.Hopkinson@operamail.com,9999-12-31,Ben,U,Hopkinson,NT1,F,BC1,(911)707-746075501,,307-656151867,V6H 1V7,VT,ACTIVE,049-59-5420,2,true
NEW,4139 Pace Lower,,West Valley,United States of America,123,1962-10-28,2007-10-02,Rickey.Loggins@hushmail.me,,2009-06-24,Rickey,U,Loggins,CT2,,HI3,,,,59406,New Brunswick,ACTIVE,710-06-6767,3,false
UPDCUST,16151 Michaels Street,,San Antonio,Canada,123,1962-10-28,2009-06-24,Rickey.Loggins@hushmail.me,Rickey.Loggins@post.com,2013-07-13,Rickey,U,Loggins,CT2,,HI3,,,,59406,AL,ACTIVE,710-06-6767,3,false
INACT,16151 Michaels Street,,San Antonio,Canada,123,1962-10-28,2013-07-13,Rickey.Loggins@hushmail.me,Rickey.Loggins@post.com,9999-12-31,Rickey,U,Loggins,CT2,,HI3,,,,59406,AL,INACTIVE,710-06-6767,3,true
NEW,17676 Rusk Street,,Eugene,United States of America,124,2012-04-14,2007-10-02,Jet.L.Toth@gmx.us,Jet.L.Toth@mail.com,9999-12-31,Jet,U,Toth,HI7,L,AK1,,,,64055,AK,ACTIVE,623-91-9757,2,true
NEW,19748 Alexis Upper,Apt. 318,Lewiston,United States of America,125,2001-01-27,2007-10-03,Layney.C.Townson@hotmail.com,Layney.C.Townson@box.az,2009-10-08,Layney,M,Townson,SK3,C,WY1,,,,V6M 1W9,NM,ACTIVE,400-43-7733,3,false
UPDCUST,6920 Cherokee North,Apt. 318,Ann Arbor,United States of America,125,2001-01-27,2009-10-08,Layney.C.Townson@hush.com,Layney.C.Townson@box.az,9999-12-31,Layney,M,Townson,SK3,C,WY1,488-783546049,,,T5B 1Z7,WY,ACTIVE,400-43-7733,3,true
NEW,16606 McAfee West,,Cincinnati,United States of America,126,1962-01-30,2007-10-03,Air.Ovans@operamail.com,,2008-01-14,Air,M,Ovans,YT1,,MA1,,,,V6Q 1W4,Prince Edward Island,ACTIVE,587-32-2921,3,false
UPDCUST,16701 Pearl Drive,,Cincinnati,Canada,126,1962-01-30,2008-01-14,Air.Ovans@operamail.com,,9999-12-31,Air,M,Ovans,YT1,,MA1,,,,V5A 1P7,British Columbia,ACTIVE,587-32-2921,3,true
NEW,13963 Spring Drive,,Augusta,United States of America,127,1924-11-14,2007-10-03,Stesha.Swinkels@amplimail.com,Stesha.Swinkels@mailvault.com,2014-01-09,Stesha,F,Swinkels,NB7,,OK2,,,,70836,CO,ACTIVE,322-06-8926,3,false
INACT,13963 Spring Drive,,Augusta,United States of America,127,1924-11-14,2014-01-09,Stesha.Swinkels@amplimail.com,Stesha.Swinkels@mailvault.com,9999-12-31,Stesha,F,Swinkels,NB7,,OK2,,,,70836,CO,INACTIVE,322-06-8926,3,true
NEW,13920 Wedgewood Lane,,Winston-Salem,Canada,128,1950-04-24,2007-10-04,Rijos.Brys@bulldogs.com,Rijos.Brys@doctor.com,2008-06-13,Rijos,U,Brys,SC6,,MB2,,,,M2P 1D1,WV,ACTIVE,734-68-1928,3,false
UPDCUST,13920 Wedgewood Lane,,Winston-Salem,Canada,128,1950-04-24,2008-06-13,Rijos.Brys@bulldogs.com,Rijos.Brys@webmail.co.za,2017-01-04,Rijos,U,Brys,SC6,,MB2,,,,84116,WV,ACTIVE,734-68-1928,2,false
INACT,13920 Wedgewood Lane,,Winston-Salem,Canada,128,1950-04-24,2017-01-04,Rijos.Brys@bulldogs.com,Rijos.Brys@webmail.co.za,9999-12-31,Rijos,U,Brys,SC6,,MB2,,,,84116,WV,INACTIVE,734-68-1928,2,true
NEW,21477 Warren Park,,Riverside,United States of America,129,2014-12-09,2007-10-04,Jennie.Z.Fallis@eml.cc,,2008-03-01,Jennie,F,Fallis,MS1,Z,WV5,,,,96814,British Columbia,ACTIVE,172-37-3462,2,false
UPDCUST,1863 Flores Boulevard,,Madison,United States of America,129,2014-12-09,2008-03-01,Jennie.Z.Fallis@animail.net,,2010-08-01,Jennie,F,Fallis,MS1,Z,WV5,,902-862876611,,96814,NC,ACTIVE,172-37-3462,1,false
UPDCUST,8389 Donaldson Street,,Madison,Canada,129,2014-12-09,2010-08-01,Jennie.Z.Fallis@fastemailer.com,,2010-12-22,Jennie,F,Fallis,MS1,Z,WV5,,902-862876611,,59108,OH,ACTIVE,172-37-3462,3,false
UPDCUST,8389 Donaldson Street,,Independence,Canada,129,2014-12-09,2010-12-22,Jennie.Z.Fallis@dcemail.com,,2013-07-08,Jennie,F,Fallis,MS1,Z,WV5,,902-862876611,,V6M 1W3,OH,ACTIVE,172-37-3462,3,false
UPDCUST,8389 Donaldson Street,,Independence,United States of America,129,2014-12-09,2013-07-08,Jennie.Z.Fallis@farce.de,,9999-12-31,Jennie,F,Fallis,MS1,Z,WV5,,902-862876611,,M5B 1Y8,OH,ACTIVE,172-37-3462,1,true
NEW,24867 Wilmington Park,,Pembroke Pines,United States of America,130,1952-02-25,2007-10-08,Marji.Threader@shtrudel.biz,Marji.Threader@aol.com,2007-11-07,Marji,U,Threader,ND5,,AR4,,,,T5C 1M5,KY,ACTIVE,064-96-3541,,false
UPDCUST,24867 Wilmington Park,,Reno,United States of America,130,1952-02-25,2007-11-07,Marji.Threader@army.com,Marji.Threader@aol.com,2007-11-25,Marji,U,Threader,ND5,,AR4,,,,V6C 1U1,AL,ACTIVE,064-96-3541,3,false
UPDCUST,22174 Blalock East,,San Bernardino,United States of America,130,1952-02-25,2007-11-25,Marji.Threader@army.com,Marji.Threader@aol.com,2007-12-02,Marji,U,Threader,ND5,,AR4,,,,V6C 1U1,AL,ACTIVE,064-96-3541,3,false
UPDCUST,22122 Glen Loch Way,,Fontana,United States of America,130,1952-02-25,2007-12-02,Marji.Threader@12Freeukisp.co.uk,Marji.Threader@aol.com,2008-01-13,Marji,U,Threader,ND5,,AR4,382-943822498,,,V6C 1U1,CO,ACTIVE,064-96-3541,3,false
UPDCUST,20340 Lombard Crescent,,Independence,Canada,130,1952-02-25,2008-01-13,Marji.Threader@born2frag.de,Marji.Threader@aol.com,2017-05-27,Marji,U,Threader,ND5,,AR4,382-943822498,,,93879,ID,ACTIVE,064-96-3541,3,false
UPDCUST,21074 Sycamore North,,Thousand Oaks,United States of America,130,1952-02-25,2017-05-27,Marji.Threader@shtrudel.biz,Marji.Threader@gmx.co.uk,9999-12-31,Marji,U,Threader,ND5,,AR4,382-943822498,,,74154,Alberta,ACTIVE,064-96-3541,1,true
NEW,14709 Panther Creek Avenue,Apt. 791,Mount Pearl,United States of America,131,1991-04-29,2007-10-09,Pennie.Laux@doctor.com,,2015-03-22,Pennie,U,Laux,BC10,,HI9,,,,99738,KS,ACTIVE,838-98-6840,3,false
INACT,14709 Panther Creek Avenue,Apt. 791,Mount Pearl,United States of America,131,1991-04-29,2015-03-22,Pennie.Laux@doctor.com,,9999-12-31,Pennie,U,Laux,BC10,,HI9,,,,99738,KS,INACTIVE,838-98-6840,3,true
NEW,22823 Burgoyne Boulevard,,Victoria,United States of America,132,2000-12-23,2007-10-09,Rakhuma.H.Byczko@letterbox.org,,9999-12-31,Rakhuma,U,Byczko,NT6,H,YT8,,,,10032,NJ,ACTIVE,499-59-2916,2,true
NEW,22658 Lamboll Drive,,Richmond,United States of America,146,1953-01-21,2007-10-20,Austine.Gooch@gmx.pt,,2011-05-04,Austine,U,Gooch,ID1,,WI2,,,,02910,ID,ACTIVE,474-34-0063,3,false
